fokus,topik,bahasa,level_bloom,pertanyaan,input_text,target_text
Python,Python String Formatting (f-string),English,Applying,"Write a Python f-string that displays a person's name, age, and city in the format: 'John is 25 years old and lives in Boston.'","Level: Applying
Topik: Python String Formatting (f-string)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Write a Python f-string that displays a person's name, age, and city in the format: 'John is 25 years old and lives in Boston.'"
Machine Learning,Naive Bayes,Indonesian,Remembering,Apa asumsi fundamental yang dibuat oleh classifier Naive Bayes tentang independensi fitur?,"Level: Remembering
Topik: Naive Bayes
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa asumsi fundamental yang dibuat oleh classifier Naive Bayes tentang independensi fitur?
Machine Learning,XGBoost,English,Understanding,Explain how XGBoost handles missing values differently from traditional decision trees.,"Level: Understanding
Topik: XGBoost
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how XGBoost handles missing values differently from traditional decision trees.
IT Project Management,Product Backlog Management,English,Remembering,What is a product backlog in Agile project management?,"Level: Remembering
Topik: Product Backlog Management
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is a product backlog in Agile project management?
Machine Learning,Hyperparameter Tuning,English,Evaluating,"You have limited computational resources and need to tune hyperparameters for a deep neural network with 8 different hyperparameters. Evaluate which tuning strategy (Grid Search, Random Search, or Bayesian Optimization) would be most appropriate and justify your choice.","Level: Evaluating
Topik: Hyperparameter Tuning
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","You have limited computational resources and need to tune hyperparameters for a deep neural network with 8 different hyperparameters. Evaluate which tuning strategy (Grid Search, Random Search, or Bayesian Optimization) would be most appropriate and justify your choice."
Software Engineering,Static Code Analysis,English,Creating,"Design a custom static analysis rule for your organization that detects a specific anti-pattern in your codebase (e.g., improper error handling, insecure API calls). Describe the pattern to detect, the detection logic, and the suggested fix.","Level: Creating
Topik: Static Code Analysis
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a custom static analysis rule for your organization that detects a specific anti-pattern in your codebase (e.g., improper error handling, insecure API calls). Describe the pattern to detect, the detection logic, and the suggested fix."
Sistem Operasi,Threads dan Synchronization,Indonesia,Remembering,Fungsi apa yang digunakan untuk membuat thread pada OpenMP?,"Level: Remembering
Topik: Threads dan Synchronization
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Fungsi apa yang digunakan untuk membuat thread pada OpenMP?
Python,Python Tuple Immutability,English,Applying,"Given a tuple `coordinates = (10, 20, 30)`, write Python code to create a new tuple with the second element changed to 25.","Level: Applying
Topik: Python Tuple Immutability
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Given a tuple `coordinates = (10, 20, 30)`, write Python code to create a new tuple with the second element changed to 25."
Flutter,Flutter StreamBuilder,English,Understanding,Explain how StreamBuilder rebuilds its widget tree when new data arrives from a Stream.,"Level: Understanding
Topik: Flutter StreamBuilder
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how StreamBuilder rebuilds its widget tree when new data arrives from a Stream.
Business Intelligence,Data Governance,English,Analyzing,Analyze how poor data governance practices can impact business intelligence decision-making and reporting accuracy.,"Level: Analyzing
Topik: Data Governance
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Analyze how poor data governance practices can impact business intelligence decision-making and reporting accuracy.
Sistem Interaksi,Prinsip Kognisi dalam Desain Interaksi,Indonesian,Analyzing,Bandingkan bagaimana navigasi berbasis recognition (menggunakan ikon dan petunjuk visual) versus navigasi berbasis recall (mengetik perintah) mempengaruhi cognitive load pengguna. Pendekatan mana yang lebih efektif dan mengapa?,"Level: Analyzing
Topik: Prinsip Kognisi dalam Desain Interaksi
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan bagaimana navigasi berbasis recognition (menggunakan ikon dan petunjuk visual) versus navigasi berbasis recall (mengetik perintah) mempengaruhi cognitive load pengguna. Pendekatan mana yang lebih efektif dan mengapa?
NLP,Text Classification,Indonesian,Analyzing,Sebuah sistem deteksi spam memiliki akurasi 95% tetapi menandai 30% email legitimate sebagai spam. Analisis apa yang mungkin menyebabkan masalah ini dan identifikasi metrik evaluasi mana yang lebih baik untuk mengungkap masalah tersebut.,"Level: Analyzing
Topik: Text Classification
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah sistem deteksi spam memiliki akurasi 95% tetapi menandai 30% email legitimate sebagai spam. Analisis apa yang mungkin menyebabkan masalah ini dan identifikasi metrik evaluasi mana yang lebih baik untuk mengungkap masalah tersebut.
Deep Learning,Multi-Head Attention,English,Evaluating,A transformer model is underperforming on a machine translation task. Would increasing the number of attention heads from 8 to 16 necessarily improve performance? Justify your answer with potential benefits and drawbacks.,"Level: Evaluating
Topik: Multi-Head Attention
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A transformer model is underperforming on a machine translation task. Would increasing the number of attention heads from 8 to 16 necessarily improve performance? Justify your answer with potential benefits and drawbacks.
Python Concurrency,Python Global Interpreter Lock (GIL),English,Understanding,Explain why the GIL prevents true parallel execution of Python threads on multi-core processors.,"Level: Understanding
Topik: Python Global Interpreter Lock (GIL)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain why the GIL prevents true parallel execution of Python threads on multi-core processors.
Management Information Systems,IS in Global Business,English,Analyzing,Analyze how delayed and manual financial reporting processes can influence management decision making in a global company.,"Level: Analyzing
Topik: IS in Global Business
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Analyze how delayed and manual financial reporting processes can influence management decision making in a global company.
NLP,Text Summarization,English,Remembering,What is the primary goal of text summarization in NLP?,"Level: Remembering
Topik: Text Summarization
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the primary goal of text summarization in NLP?
Python OOP,Python Abstract Base Classes,Indonesian,Remembering,Apa fungsi dari modul ABC dalam Python?,"Level: Remembering
Topik: Python Abstract Base Classes
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi dari modul ABC dalam Python?
Python OOP,Python Magic Methods,Indonesian,Understanding,Jelaskan perbedaan penggunaan magic method __str__ dan __repr__.,"Level: Understanding
Topik: Python Magic Methods
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan perbedaan penggunaan magic method __str__ dan __repr__.
Data Structures,Hash Table,English,Creating,"Design a hash table implementation for a spell-checker application that must handle 100,000 English words efficiently. Specify your choice of hash function, collision resolution strategy, and load factor threshold for resizing.","Level: Creating
Topik: Hash Table
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a hash table implementation for a spell-checker application that must handle 100,000 English words efficiently. Specify your choice of hash function, collision resolution strategy, and load factor threshold for resizing."
NLP,Masked Language Modeling,Indonesian,Remembering,Apa tujuan utama dari Masked Language Modeling (MLM) dalam NLP?,"Level: Remembering
Topik: Masked Language Modeling
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa tujuan utama dari Masked Language Modeling (MLM) dalam NLP?
DevOps,Docker Networking,English,Evaluating,"A development team is debating whether to use Docker's default bridge network or create custom bridge networks for their multi-container application. Based on security, DNS resolution, and network isolation considerations, which approach would you recommend and why?","Level: Evaluating
Topik: Docker Networking
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A development team is debating whether to use Docker's default bridge network or create custom bridge networks for their multi-container application. Based on security, DNS resolution, and network isolation considerations, which approach would you recommend and why?"
Flutter,Flutter REST API Integration,Indonesian,Applying,Anda perlu mengambil daftar pengguna dari API endpoint https://api.example.com/users menggunakan package http. Tulis kode Dart untuk melakukan GET request ini dan parsing JSON response-nya.,"Level: Applying
Topik: Flutter REST API Integration
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Anda perlu mengambil daftar pengguna dari API endpoint https://api.example.com/users menggunakan package http. Tulis kode Dart untuk melakukan GET request ini dan parsing JSON response-nya.
Python,Python Lambda Functions,English,Creating,"Design a sorting solution using lambda functions that sorts a list of dictionaries containing student data [{'name': 'Alice', 'grade': 85}, {'name': 'Bob', 'grade': 92}] first by grade (descending), then by name (ascending) for students with the same grade.","Level: Creating
Topik: Python Lambda Functions
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a sorting solution using lambda functions that sorts a list of dictionaries containing student data [{'name': 'Alice', 'grade': 85}, {'name': 'Bob', 'grade': 92}] first by grade (descending), then by name (ascending) for students with the same grade."
Matematika Diskrit,Invers Modular,English,Understanding,"Explain why the modular inverse of a number a modulo m exists only when gcd(a, m) = 1.","Level: Understanding
Topik: Invers Modular
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Explain why the modular inverse of a number a modulo m exists only when gcd(a, m) = 1."
Manajemen Proyek TI,Proses Seleksi Proyek,Indonesian,Creating,"Rancang sebuah kerangka kerja seleksi proyek yang komprehensif untuk perusahaan menengah yang menyeimbangkan metrik finansial, keselarasan strategis, penilaian risiko, dan ketersediaan sumber daya.","Level: Creating
Topik: Proses Seleksi Proyek
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang sebuah kerangka kerja seleksi proyek yang komprehensif untuk perusahaan menengah yang menyeimbangkan metrik finansial, keselarasan strategis, penilaian risiko, dan ketersediaan sumber daya."
Distributed Systems,Message Queues,English,Understanding,Explain how message queues help decouple services in a microservices architecture.,"Level: Understanding
Topik: Message Queues
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how message queues help decouple services in a microservices architecture.
Business Intelligence,OLAP vs OLTP,Indonesian,Remembering,Apa kepanjangan dari OLAP dan OLTP?,"Level: Remembering
Topik: OLAP vs OLTP
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa kepanjangan dari OLAP dan OLTP?
Information Retrieval,Mean Average Precision (MAP),English,Applying,"A search engine returns 10 documents for a query. The relevant documents appear at ranks 1, 3, 5, and 8. Calculate the Average Precision for this query.","Level: Applying
Topik: Mean Average Precision (MAP)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A search engine returns 10 documents for a query. The relevant documents appear at ranks 1, 3, 5, and 8. Calculate the Average Precision for this query."
Python Data,Pandas Time Series Handling,English,Creating,"Design a complete data pipeline that reads CSV files with inconsistent datetime formats, handles missing timestamps, resamples to weekly frequency, and calculates rolling 4-week averages. Provide the implementation strategy.","Level: Creating
Topik: Pandas Time Series Handling
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a complete data pipeline that reads CSV files with inconsistent datetime formats, handles missing timestamps, resamples to weekly frequency, and calculates rolling 4-week averages. Provide the implementation strategy."
IT Project Management,Project Time Management,English,Understanding,What type of dependency is illustrated when coding cannot begin until users approve the analysis work?,"Level: Understanding
Topik: Project Time Management
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What type of dependency is illustrated when coding cannot begin until users approve the analysis work?
Blockchain,Blockchain Consensus Mechanism,Indonesian,Remembering,Apa fungsi utama dari mekanisme konsensus dalam teknologi blockchain?,"Level: Remembering
Topik: Blockchain Consensus Mechanism
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi utama dari mekanisme konsensus dalam teknologi blockchain?
Information Retrieval,BM25,Indonesian,Understanding,Jelaskan bagaimana BM25 memperbaiki skema pembobotan TF-IDF dasar dalam perangkingan dokumen.,"Level: Understanding
Topik: BM25
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan bagaimana BM25 memperbaiki skema pembobotan TF-IDF dasar dalam perangkingan dokumen.
Database,Relational Database Design,English,Analyzing,"A database has tables: ORDER(OrderID, CustomerID, CustomerName, CustomerAddress) and ORDER_ITEM(OrderID, ProductID, Quantity, Price). Identify the normalization issues and analyze how they could affect data integrity.","Level: Analyzing
Topik: Relational Database Design
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A database has tables: ORDER(OrderID, CustomerID, CustomerName, CustomerAddress) and ORDER_ITEM(OrderID, ProductID, Quantity, Price). Identify the normalization issues and analyze how they could affect data integrity."
Python,Python Generators,English,Creating,"Design a generator-based solution for a real-time log monitoring system that processes incoming log entries, filters them based on severity level, and yields only critical errors. Include error handling and the ability to chain multiple filters.","Level: Creating
Topik: Python Generators
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a generator-based solution for a real-time log monitoring system that processes incoming log entries, filters them based on severity level, and yields only critical errors. Include error handling and the ability to chain multiple filters."
Database,ACID Properties,Indonesian,Understanding,Jelaskan bagaimana properti Isolation mencegah konflik ketika beberapa transaksi mengakses data yang sama secara bersamaan.,"Level: Understanding
Topik: ACID Properties
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan bagaimana properti Isolation mencegah konflik ketika beberapa transaksi mengakses data yang sama secara bersamaan.
Sistem Interaksi,Proses Desain Interaksi,Indonesia,Analyzing,"Siapa saja pemangku kepentingan yang perlu dilibatkan dalam proses User-Centered Design (UCD) dalam pengembangan sistem informasi akademik, dan mengapa mereka perlu dilibatkan?","Level: Analyzing
Topik: Proses Desain Interaksi
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Siapa saja pemangku kepentingan yang perlu dilibatkan dalam proses User-Centered Design (UCD) dalam pengembangan sistem informasi akademik, dan mengapa mereka perlu dilibatkan?"
Next.js,Next.js Environment Variables,English,Applying,You need to store an API key that should only be accessible on the server and a public analytics ID that needs to be available in the browser. How would you configure these environment variables in Next.js?,"Level: Applying
Topik: Next.js Environment Variables
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",You need to store an API key that should only be accessible on the server and a public analytics ID that needs to be available in the browser. How would you configure these environment variables in Next.js?
Machine Learning,K-Fold Cross Validation,English,Applying,"A dataset contains 1000 samples. If you apply 5-fold cross validation, how many samples will be in the training set and test set for each fold?","Level: Applying
Topik: K-Fold Cross Validation
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A dataset contains 1000 samples. If you apply 5-fold cross validation, how many samples will be in the training set and test set for each fold?"
Algorithms,Recursion,English,Applying,Write a recursive function to calculate the factorial of a positive integer n. Show the function signature and implementation.,"Level: Applying
Topik: Recursion
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Write a recursive function to calculate the factorial of a positive integer n. Show the function signature and implementation.
Server Side,Load Balancing Strategy,English,Understanding,Explain how round-robin load balancing distributes incoming requests across multiple servers.,"Level: Understanding
Topik: Load Balancing Strategy
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how round-robin load balancing distributes incoming requests across multiple servers.
IT Project Management,Scrum Framework,English,Analyzing,"A development team consistently fails to complete their Sprint commitments. Analyze the potential root causes related to Sprint Planning, Daily Scrums, and backlog refinement practices.","Level: Analyzing
Topik: Scrum Framework
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A development team consistently fails to complete their Sprint commitments. Analyze the potential root causes related to Sprint Planning, Daily Scrums, and backlog refinement practices."
Python Concurrency,Python Global Interpreter Lock (GIL),English,Remembering,What is the Python Global Interpreter Lock (GIL)?,"Level: Remembering
Topik: Python Global Interpreter Lock (GIL)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the Python Global Interpreter Lock (GIL)?
Next.js,Next.js Authentication with NextAuth,Indonesian,Analyzing,Bandingkan implikasi keamanan dari penggunaan strategi JWT versus database sessions di NextAuth.js. Apa trade-off dari masing-masing pendekatan?,"Level: Analyzing
Topik: Next.js Authentication with NextAuth
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan implikasi keamanan dari penggunaan strategi JWT versus database sessions di NextAuth.js. Apa trade-off dari masing-masing pendekatan?
Manajemen Bisnis,"Market Analysis (TAM, SAM, SOM)",English,Creating,"Design a market analysis framework (TAM, SAM, SOM) for a new sustainable fashion e-commerce platform targeting Gen Z consumers in urban areas. Include your methodology and assumptions.","Level: Creating
Topik: Market Analysis (TAM, SAM, SOM)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a market analysis framework (TAM, SAM, SOM) for a new sustainable fashion e-commerce platform targeting Gen Z consumers in urban areas. Include your methodology and assumptions."
Next.js,Next.js API Routes,English,Evaluating,A developer wants to build a real-time chat application and is considering using Next.js API Routes for the backend. Evaluate whether this is a suitable architectural choice and justify your recommendation.,"Level: Evaluating
Topik: Next.js API Routes
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A developer wants to build a real-time chat application and is considering using Next.js API Routes for the backend. Evaluate whether this is a suitable architectural choice and justify your recommendation.
Server Side,Backend Logging Strategy,Indonesian,Applying,"Aplikasi Anda mengalami error 500 yang tidak konsisten di production. Rancang strategi logging yang dapat membantu mengidentifikasi akar masalah, termasuk log level yang digunakan dan informasi apa yang perlu dicatat.","Level: Applying
Topik: Backend Logging Strategy
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Aplikasi Anda mengalami error 500 yang tidak konsisten di production. Rancang strategi logging yang dapat membantu mengidentifikasi akar masalah, termasuk log level yang digunakan dan informasi apa yang perlu dicatat."
Management Information Systems,"Information Systems, Organizations, and Strategy",English,Analyzing,How can information systems support a retail strategy that tailors products to local customer preferences?,"Level: Analyzing
Topik: Information Systems, Organizations, and Strategy
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",How can information systems support a retail strategy that tailors products to local customer preferences?
IT Project Management,Project Communication Plan,Indonesian,Creating,"Rancang Communication Plan yang komprehensif untuk proyek implementasi sistem rumah sakit yang melibatkan dokter, perawat, staf IT, administrasi rumah sakit, dan tim vendor. Sertakan metode komunikasi, frekuensi, audiens, dan prosedur eskalasi.","Level: Creating
Topik: Project Communication Plan
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang Communication Plan yang komprehensif untuk proyek implementasi sistem rumah sakit yang melibatkan dokter, perawat, staf IT, administrasi rumah sakit, dan tim vendor. Sertakan metode komunikasi, frekuensi, audiens, dan prosedur eskalasi."
Python Data,NumPy Array Broadcasting,English,Remembering,What is the definition of broadcasting in NumPy?,"Level: Remembering
Topik: NumPy Array Broadcasting
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the definition of broadcasting in NumPy?
Manajemen Proyek TI,Eksekusi Proyek,Indonesian,Analyzing,"Sebuah proyek pengembangan software mengalami scope creep selama eksekusi, menyebabkan pembengkakan anggaran dan keterlambatan. Analisis akar penyebab masalah tersebut dan dampaknya terhadap kesuksesan proyek.","Level: Analyzing
Topik: Eksekusi Proyek
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Sebuah proyek pengembangan software mengalami scope creep selama eksekusi, menyebabkan pembengkakan anggaran dan keterlambatan. Analisis akar penyebab masalah tersebut dan dampaknya terhadap kesuksesan proyek."
Business Intelligence,Data Modeling Snowflake Schema,English,Understanding,Explain how normalization in a snowflake schema affects data redundancy and storage requirements compared to a star schema.,"Level: Understanding
Topik: Data Modeling Snowflake Schema
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how normalization in a snowflake schema affects data redundancy and storage requirements compared to a star schema.
Web Development,CORS Configuration,Indonesian,Remembering,Apa kepanjangan dari CORS dan sebutkan HTTP header yang digunakan server untuk menentukan origin mana saja yang dapat mengakses resource-nya?,"Level: Remembering
Topik: CORS Configuration
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa kepanjangan dari CORS dan sebutkan HTTP header yang digunakan server untuk menentukan origin mana saja yang dapat mengakses resource-nya?
Deep Learning,Perceptron,Indonesian,Analyzing,Mengapa single-layer perceptron tidak dapat menyelesaikan masalah XOR? Analisis keterbatasan tersebut dalam konteks linear separability.,"Level: Analyzing
Topik: Perceptron
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Mengapa single-layer perceptron tidak dapat menyelesaikan masalah XOR? Analisis keterbatasan tersebut dalam konteks linear separability.
Business Intelligence,Dashboard Design Principles,English,Analyzing,Compare two dashboard designs: one using multiple pie charts versus one using bar charts and line graphs. Analyze which approach better supports data-driven decision making and why.,"Level: Analyzing
Topik: Dashboard Design Principles
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Compare two dashboard designs: one using multiple pie charts versus one using bar charts and line graphs. Analyze which approach better supports data-driven decision making and why.
Komputer & Masyarakat,Technology Development,Indonesian,Creating,"Rancang sebuah kerangka kerja pengembangan teknologi untuk perusahaan yang ingin menyeimbangkan kecepatan inovasi dengan keamanan dan keandalan. Sertakan fase-fase kunci, checkpoint, dan keterlibatan stakeholder.","Level: Creating
Topik: Technology Development
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang sebuah kerangka kerja pengembangan teknologi untuk perusahaan yang ingin menyeimbangkan kecepatan inovasi dengan keamanan dan keandalan. Sertakan fase-fase kunci, checkpoint, dan keterlibatan stakeholder."
Python,Python Exception Handling,English,Applying,Write a Python code snippet that uses try-except to handle a ZeroDivisionError when dividing two user-input numbers.,"Level: Applying
Topik: Python Exception Handling
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Write a Python code snippet that uses try-except to handle a ZeroDivisionError when dividing two user-input numbers.
Data Structures,Array,English,Creating,Design an algorithm to rotate an array to the right by k positions without using extra space. Describe your approach and analyze its efficiency.,"Level: Creating
Topik: Array
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Design an algorithm to rotate an array to the right by k positions without using extra space. Describe your approach and analyze its efficiency.
Computer Graphics,Shader Programming,Indonesian,Analyzing,Sebuah game berjalan lancar pada 60 FPS di hardware high-end tetapi turun ke 15 FPS pada GPU mid-range. Profiler menunjukkan fragment shader mengeksekusi perhitungan lighting yang kompleks per pixel. Analisis bottleneck performa tersebut dan identifikasi teknik optimasi shader mana yang paling efektif.,"Level: Analyzing
Topik: Shader Programming
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah game berjalan lancar pada 60 FPS di hardware high-end tetapi turun ke 15 FPS pada GPU mid-range. Profiler menunjukkan fragment shader mengeksekusi perhitungan lighting yang kompleks per pixel. Analisis bottleneck performa tersebut dan identifikasi teknik optimasi shader mana yang paling efektif.
Operating Systems,System Calls,Indonesian,Remembering,Apa yang dimaksud dengan system call?,"Level: Remembering
Topik: System Calls
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa yang dimaksud dengan system call?
Server Side,Server Side Input Validation,English,Understanding,Explain why server-side validation is necessary even when client-side validation is already implemented.,"Level: Understanding
Topik: Server Side Input Validation
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain why server-side validation is necessary even when client-side validation is already implemented.
Manajemen Bisnis,"Market Analysis (TAM, SAM, SOM)",English,Evaluating,"Two startups pitch to investors: Company A shows TAM $50B, SAM $5B, SOM $100M. Company B shows TAM $10B, SAM $2B, SOM $500M. Which company presents a more compelling market opportunity and why?","Level: Evaluating
Topik: Market Analysis (TAM, SAM, SOM)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Two startups pitch to investors: Company A shows TAM $50B, SAM $5B, SOM $100M. Company B shows TAM $10B, SAM $2B, SOM $500M. Which company presents a more compelling market opportunity and why?"
Flutter,Flutter Animation Controller,Indonesian,Remembering,Apa fungsi utama dari AnimationController dalam Flutter?,"Level: Remembering
Topik: Flutter Animation Controller
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi utama dari AnimationController dalam Flutter?
Deep Learning,Fine-Tuning Pretrained Models,Indonesian,Evaluating,Sebuah tim sedang memutuskan antara melakukan fine-tuning GPT-3 atau melatih model transformer yang lebih kecil dari awal untuk tugas text generation spesifik domain dengan 50.000 contoh data. Pendekatan mana yang akan Anda rekomendasikan dan mengapa?,"Level: Evaluating
Topik: Fine-Tuning Pretrained Models
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah tim sedang memutuskan antara melakukan fine-tuning GPT-3 atau melatih model transformer yang lebih kecil dari awal untuk tugas text generation spesifik domain dengan 50.000 contoh data. Pendekatan mana yang akan Anda rekomendasikan dan mengapa?
Cloud Computing,Serverless Architecture,English,Understanding,Explain how the pay-per-execution pricing model works in serverless computing and what factors determine the cost.,"Level: Understanding
Topik: Serverless Architecture
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how the pay-per-execution pricing model works in serverless computing and what factors determine the cost.
Data Structures,Binary Search Tree,English,Analyzing,Compare the performance of searching in a balanced BST versus an unbalanced BST. What causes the performance difference?,"Level: Analyzing
Topik: Binary Search Tree
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Compare the performance of searching in a balanced BST versus an unbalanced BST. What causes the performance difference?
React,React Performance Optimization,English,Applying,"A React component re-renders unnecessarily every time its parent updates, even though its props haven't changed. Apply an appropriate optimization technique to prevent this behavior.","Level: Applying
Topik: React Performance Optimization
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A React component re-renders unnecessarily every time its parent updates, even though its props haven't changed. Apply an appropriate optimization technique to prevent this behavior."
Komputer & Masyarakat,Technology Ethics,Indonesia,Applying,Tindakan apa yang dapat dilakukan individu dalam merespons isu etika atau sosial yang dibahas dalam artikel tentang teknologi?,"Level: Applying
Topik: Technology Ethics
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Tindakan apa yang dapat dilakukan individu dalam merespons isu etika atau sosial yang dibahas dalam artikel tentang teknologi?
Sistem Operasi,Virtualisasi dan Shell,Indonesia,Remembering,VirtualBox termasuk jenis hypervisor apa?,"Level: Remembering
Topik: Virtualisasi dan Shell
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",VirtualBox termasuk jenis hypervisor apa?
React,React Class Components,English,Understanding,Explain the difference between state and props in React class components and how they affect component behavior.,"Level: Understanding
Topik: React Class Components
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain the difference between state and props in React class components and how they affect component behavior.
